preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
220000,Apartamento,Cariacica,Tucum,41,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
350000,Apartamento,Cariacica,Rio Branco,63,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
378890,Casa,Cariacica,Santa Bárbara,68,2,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
670000,Apartamento,Cariacica,Vera Cruz,144,2,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
807130,Apartamento,Cariacica,São Geraldo,91,3,2,2,True,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
680000,Casa,Cariacica,Campo Grande,200,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
995000,Casa,Cariacica,Jardim América,200,3,3,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
800000,Apartamento,Cariacica,Campo Grande,150,3,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
350000,Sobrado,Cariacica,São Francisco,210,3,1,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
210000,Apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
392000,Apartamento,Cariacica,Morada de Santa Fé,52,3,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
299999,Casa,Cariacica,Nova Rosa da Penha,300,2,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
1300000,Apartamento,Cariacica,Campo Grande,115,4,2,2,True,True,True,True,True,True,False,True,False,True,False,False,False,False,,,False
415000,Térrea,Cariacica,Santa Bárbara,350,3,2,2,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
580000,Apartamento,Cariacica,Campo Grande,62,2,2,1,True,True,False,False,True,True,False,True,False,False,False,False,False,False,,,False
670000,Casa,Cariacica,Santo André,150,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1150000,Apartamento,Cariacica,Campo Grande,115,3,2,2,True,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
300000,Apartamento,Cariacica,Campo Grande,76,2,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1400000,Apartamento,Cariacica,Campo Grande,115,3,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
636000,Casa,Cariacica,Santa Bárbara,95,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
295000,Apartamento,Cariacica,Vila Palestina,80,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
355000,Apartamento,Cariacica,São Geraldo,63,3,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
650000,Casa,Cariacica,Campo Grande,320,3,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
850000,Apartamento,Cariacica,Campo Grande,91,2,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
750000,Casa,Cariacica,São Conrado,250,3,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
500000,Sobrado,Cariacica,Jardim América,146,4,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
670000,Apartamento,Cariacica,Campo Grande,227,4,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
367500,Casa,Cariacica,Parque Gramado,120,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
650000,Casa,Cariacica,São Francisco,200,3,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1050000,Apartamento,Cariacica,São Geraldo,115,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
849900,Apartamento,Cariacica,São Geraldo,85,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
420000,Térrea,Cariacica,Santa Bárbara,126,2,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
604000,Apartamento,Cariacica,Campo Grande,83,3,1,3,False,True,False,True,True,False,False,True,False,True,False,False,False,False,,,False
450000,Apartamento,Cariacica,Rio Branco,63,3,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
950000,Sobrado,Cariacica,Jardim América,200,3,2,3,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
900000,Casa,Cariacica,Vera Cruz,206,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
600000,Casa,Cariacica,Santana,300,4,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
600000,Apartamento,Cariacica,Campo Grande,130,3,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,,False
355000,Apartamento,Cariacica,São Geraldo,63,3,1,1,True,False,False,False,True,True,False,True,False,True,False,False,False,False,,,False
790000,Apartamento,Cariacica,Cruzeiro do Sul,152,3,2,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
415000,Casa,Cariacica,Santa Bárbara,146,3,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
385500,Apartamento,Cariacica,Cruzeiro do Sul,167,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
285000,Casa,Cariacica,São Geraldo II,165,4,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
283000,Apartamento,Cariacica,São João Batista,46,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False
250000,Apartamento,Cariacica,Campina Grande,44,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False
700000,Casa,Cariacica,Itaquari,360,7,3,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
410000,Apartamento,Cariacica,Rio Branco,67,3,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
331800,Apartamento,Cariacica,Morada de Santa Fé,44,2,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
500000,Apartamento,Cariacica,São Conrado,120,3,2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,,False
500000,Casa,Cariacica,Alto Lage,388,5,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
980000,Casa,Cariacica,Jardim América,300,3,5,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,,,False
650000,Casa,Cariacica,Morada de Santa Fé,127,3,2,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,,False
