preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
275665,apartamento,apartamento_padrao,Cariacica,Nova Valverde,40,2.0,1.0,1.0,12,187,False,True,False,False,False,False
325165,apartamento,apartamento_padrao,Cariacica,Nova Valverde,54,2.0,1.0,1.0,12,181,False,True,False,False,False,True
330296,apartamento,apartamento_padrao,Cariacica,Nova Valverde,54,2.0,1.0,1.0,12,187,False,True,False,False,False,True
160000,apartamento,apartamento_padrao,Cariacica,Operário,40,2.0,1.0,,1,46,False,False,False,False,False,False
95000,apartamento,apartamento_padrao,Cariacica,Padre Gabriel,48,2.0,1.0,2.0,7,41,False,False,False,True,False,False
110000,apartamento,apartamento_padrao,Cariacica,Padre Gabriel,48,2.0,1.0,2.0,14,1,False,False,False,True,False,False
190000,apartamento,apartamento_padrao,Cariacica,Parque Gramado,60,2.0,2.0,0.0,9,21,False,False,True,False,False,False
320000,apartamento,apartamento_padrao,Cariacica,Rio Branco,55,2.0,2.0,1.0,15,5,False,True,False,True,False,True
320000,apartamento,apartamento_padrao,Cariacica,Rio Branco,55,2.0,1.0,1.0,9,38,False,True,True,True,True,True
320000,apartamento,apartamento_padrao,Cariacica,Rio Branco,54,2.0,1.0,1.0,9,39,True,False,False,True,False,True
320000,apartamento,apartamento_padrao,Cariacica,Rio Branco,51,1.0,1.0,0.0,9,40,True,True,True,True,False,True
320000,apartamento,apartamento_padrao,Cariacica,Rio Branco,55,2.0,1.0,1.0,11,40,False,False,True,False,False,False
350000,apartamento,apartamento_padrao,Cariacica,Rio Branco,53,2.0,1.0,1.0,15,2,False,True,True,True,False,True
350000,apartamento,apartamento_padrao,Cariacica,Rio Branco,58,2.0,1.0,1.0,12,2,True,False,False,False,False,False
350000,apartamento,apartamento_padrao,Cariacica,Rio Branco,55,2.0,1.0,1.0,12,13,False,True,True,True,True,True
350000,apartamento,apartamento_padrao,Cariacica,Rio Branco,63,2.0,1.0,1.0,10,20,False,False,True,False,False,False
350000,apartamento,apartamento_padrao,Cariacica,Rio Branco,57,2.0,1.0,1.0,13,20,False,False,False,False,False,False
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,67,3.0,2.0,1.0,11,9,False,True,False,True,False,True
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,64,3.0,2.0,1.0,19,12,False,True,False,True,False,True
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,65,3.0,2.0,1.0,14,13,False,True,False,True,False,True
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,65,3.0,1.0,1.0,14,13,False,True,True,True,False,True
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,65,3.0,1.0,1.0,13,13,True,False,False,False,False,False
410000,apartamento,apartamento_padrao,Cariacica,Rio Branco,67,3.0,2.0,1.0,13,13,False,False,False,False,False,False
425000,apartamento,apartamento_padrao,Cariacica,Rio Branco,67,3.0,2.0,2.0,9,153,False,True,False,True,False,True
449900,apartamento,apartamento_padrao,Cariacica,Rio Branco,64,3.0,2.0,1.0,10,63,True,False,False,True,False,False
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,70,3.0,2.0,1.0,17,6,False,True,True,True,False,True
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,64,3.0,2.0,1.0,20,63,False,True,False,True,False,True
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,64,3.0,2.0,1.0,8,80,False,True,False,True,True,True
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,65,3.0,1.0,1.0,19,85,False,True,True,True,False,True
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,63,3.0,2.0,1.0,8,86,False,False,False,False,False,False
450000,apartamento,apartamento_padrao,Cariacica,Rio Branco,67,3.0,2.0,1.0,9,87,False,False,False,False,False,False
530000,apartamento,apartamento_padrao,Cariacica,Rio Branco,63,3.0,2.0,1.0,8,2,False,False,False,False,False,False
530000,apartamento,apartamento_padrao,Cariacica,Rio Branco,63,3.0,2.0,1.0,10,5,True,True,False,True,False,True
530000,apartamento,apartamento_padrao,Cariacica,Rio Branco,67,3.0,2.0,1.0,10,10,False,True,False,True,False,False
530000,apartamento,apartamento_padrao,Cariacica,Rio Branco,70,2.0,2.0,1.0,12,17,False,True,False,True,False,True
550000,apartamento,apartamento_padrao,Cariacica,Rio Branco,59,3.0,2.0,1.0,20,100,False,False,False,False,False,True
215000,apartamento,apartamento_padrao,Cariacica,Rosa da Penha,100,3.0,1.0,,17,332,False,False,False,False,False,False
390000,apartamento,apartamento_padrao,Cariacica,Rosa da Penha,180,3.0,2.0,1.0,20,18,False,False,True,False,False,False
195000,apartamento,apartamento_padrao,Cariacica,Santa Bárbara,45,2.0,1.0,,5,255,False,True,False,False,False,False
220000,apartamento,apartamento_padrao,Cariacica,Santa Bárbara,48,2.0,1.0,1.0,8,9,False,False,False,True,False,False
230000,apartamento,apartamento_padrao,Cariacica,Santa Bárbara,45,2.0,1.0,1.0,17,20,False,False,False,False,False,False
230000,apartamento,apartamento_padrao,Cariacica,Santa Bárbara,45,2.0,1.0,1.0,20,26,False,False,False,False,False,False
225000,apartamento,apartamento_padrao,Cariacica,Santa Cecília,59,2.0,1.0,1.0,6,1172,False,False,False,False,False,False
270000,apartamento,apartamento_padrao,Cariacica,Santa Cecília,75,2.0,2.0,0.0,3,13,False,False,True,False,False,True
630000,apartamento,apartamento_padrao,Cariacica,Santa Cecília,155,3.0,2.0,3.0,1,31,False,False,True,False,False,False
210000,apartamento,apartamento_padrao,Cariacica,Santana,42,2.0,1.0,1.0,16,302,False,True,False,False,False,False
220000,apartamento,apartamento_padrao,Cariacica,Santo André,60,2.0,2.0,1.0,10,6,False,False,False,True,False,False
800000,apartamento,apartamento_padrao,Cariacica,Santo André,216,3.0,3.0,1.0,20,317,False,False,False,False,False,False
280000,apartamento,apartamento_padrao,Cariacica,Sotema,40,2.0,1.0,1.0,8,25,False,True,False,True,False,False
500000,apartamento,apartamento_padrao,Cariacica,São Conrado,120,3.0,2.0,2.0,11,82,False,False,False,False,True,False
500000,apartamento,apartamento_padrao,Cariacica,São Conrado,120,3.0,2.0,2.0,13,89,False,False,False,False,True,False
850000,apartamento,apartamento_padrao,Cariacica,São Conrado,206,3.0,2.0,2.0,18,124,False,True,False,False,False,False
