preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
450000,apartamento,apartamento_padrao,Vila Velha,Itapuã,40,1,1,1,True,16,False,False,True,False,True,False,False,True,False,False,False,False,False,False,2,11250.0,False
450000,apartamento,apartamento_padrao,Vila Velha,Itapuã,42,1,1,1,True,15,False,False,False,False,True,True,False,True,False,False,False,False,False,False,2,10714.29,False
500000,apartamento,apartamento_padrao,Vila Velha,Itapuã,70,2,1,1,True,8,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0,7142.86,False
530000,apartamento,apartamento_padrao,Vila Velha,Itapuã,40,1,1,1,True,19,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,13250.0,False
530088,apartamento,apartamento_padrao,Vila Velha,Itapuã,90,3,2,1,True,14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,5889.87,False
550000,apartamento,apartamento_padrao,Vila Velha,Itapuã,54,2,1,1,True,16,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,10185.19,False
550000,apartamento,apartamento_padrao,Vila Velha,Itapuã,50,1,1,1,True,12,False,True,True,False,True,True,False,True,False,False,False,False,False,False,1,11000.0,False
560000,apartamento,apartamento_padrao,Vila Velha,Itapuã,73,2,2,1,True,20,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,7671.23,False
580000,apartamento,apartamento_padrao,Vila Velha,Itapuã,73,2,1,1,True,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,7945.21,False
580000,apartamento,apartamento_padrao,Vila Velha,Itapuã,70,2,2,1,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,8285.71,False
