_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
460,3938,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000.0,160,160,3.0,3.0,2.0,0.0,0.0,0,0.0
461,3938,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000.0,160,160,3.0,3.0,2.0,0.0,0.0,0,0.0
462,3570,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1295000,1295000.0,141,141,3.0,3.0,2.0,0.0,0.0,0,0.0
468,3838,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000.0,110,110,3.0,2.0,2.0,0.0,0.0,0,0.0
471,3819,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000.0,90,90,3.0,2.0,2.0,0.0,0.0,0,0.0
472,3819,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000.0,90,90,3.0,2.0,2.0,0.0,0.0,0,0.0
492,3841,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1390000,1390000.0,110,110,3.0,2.0,2.0,0.0,0.0,0,0.0
522,3889,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1680000,1680000.0,110,110,3.0,2.0,2.0,0.0,0.0,0,0.0
530,4348,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1697000,1697000.0,117,117,3.0,1.0,2.0,0.0,0.0,0,0.0
544,3557,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1950000,1950000.0,109,109,3.0,2.0,2.0,0.0,0.0,0,0.0
625,3624,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,330000,330000.0,52,52,2.0,1.0,1.0,0.0,0.0,0,0.0
632,4288,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,480000,480000.0,120,120,3.0,1.0,1.0,0.0,0.0,0,0.0
633,4268,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,480000,480000.0,73,73,2.0,2.0,1.0,0.0,0.0,0,0.0
634,3533,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
634,4383,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
635,3533,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
635,4383,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
636,3533,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
636,4383,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
638,4636,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,599000,599000.0,58,58,2.0,1.0,1.0,0.0,0.0,0,0.0
648,4399,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,709082,709082.0,63,63,2.0,2.0,1.0,0.0,0.0,0,0.0
649,4399,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,709082,709082.0,63,63,2.0,2.0,1.0,0.0,0.0,0,0.0
683,3392,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,810583,810583.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
685,3633,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,819089,819089.0,63,63,2.0,3.0,1.0,0.0,0.0,0,0.0
735,3389,Vila Velha,Vila Velha,Nossa Senhora da Penha,Nossa Senhora da Penha,apartamento,apartamento,320000,320000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
750,4191,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,514000,514000.0,60,60,2.0,1.0,1.0,0.0,0.0,0,0.0
751,4191,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,514000,514000.0,60,60,2.0,1.0,1.0,0.0,0.0,0,0.0
763,3556,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000.0,102,102,3.0,2.0,1.0,0.0,0.0,0,0.0
764,3556,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000.0,102,102,3.0,2.0,1.0,0.0,0.0,0,0.0
765,4461,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000.0,100,100,3.0,2.0,1.0,0.0,0.0,0,0.0
771,4433,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,86,86,2.0,2.0,1.0,0.0,0.0,0,0.0
