preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
309000,2472.0,Casa,casa,Cariacica,Cariacica,Itacibá,125,2,1,0,False,False,False,False,False,False,False,False,False
1850000,13214.29,Casa,casa,Cariacica,Cariacica,Vila Palestina,140,3,1,8,False,False,False,False,False,False,False,False,False
1050000,9130.43,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True,False,False,False
980000,2808.02,Casa,casa,Cariacica,Cariacica,Jardim América,349,3,3,2,False,False,False,False,True,False,False,False,False
390000,7500.0,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,52,2,1,4,False,False,False,False,False,False,False,False,False
1245000,10732.76,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,116,3,2,2,True,False,False,False,False,False,False,False,False
655000,7797.62,Casa,casa,Cariacica,Cariacica,Jardim América,84,2,1,0,True,False,False,False,False,False,False,False,False
1090000,3892.86,Casa,casa,Cariacica,Cariacica,Morada de Santa Fé,280,5,4,2,True,False,False,False,False,False,False,False,False
950000,11875.0,Casa,casa,Cariacica,Cariacica,Campo Grande,80,3,3,2,True,False,False,False,False,False,False,False,False
620000,3875.0,Casa,casa,Cariacica,Cariacica,São Geraldo,160,4,3,2,True,True,False,False,False,False,False,False,False
750000,5859.38,Casa,casa,Cariacica,Cariacica,São Conrado,128,3,1,2,True,False,True,False,False,False,False,False,False
423500,4033.33,Casa,casa,Cariacica,Cariacica,Santa Bárbara,105,5,2,0,False,False,False,False,False,False,False,False,False
510000,2865.17,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,178,3,2,0,True,False,False,False,False,False,False,False,False
