_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
472,3679,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000,90,90,3.0,2.0,2.0,0,0.0,0,0.0
492,3701,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1390000,1390000,110,110,3.0,2.0,2.0,0,0.0,0,0.0
522,3749,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1680000,1680000,110,110,3.0,2.0,2.0,0,0.0,0,0.0
530,4206,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1697000,1697000,117,117,3.0,1.0,2.0,0,0.0,0,0.0
544,3417,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1950000,1950000,109,109,3.0,2.0,2.0,0,0.0,0,0.0
625,3484,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,330000,330000,52,52,2.0,1.0,1.0,0,0.0,0,0.0
632,4146,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,480000,480000,120,120,3.0,1.0,1.0,0,0.0,0,0.0
633,4126,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,480000,480000,73,73,2.0,2.0,1.0,0,0.0,0,0.0
634,3393,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
634,4241,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
635,3393,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
635,4241,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
636,3393,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
636,4241,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,550000,550000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
638,4494,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,599000,599000,58,58,2.0,1.0,1.0,0,0.0,0,0.0
648,4257,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,709082,709082,63,63,2.0,2.0,1.0,0,0.0,0,0.0
649,4257,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,709082,709082,63,63,2.0,2.0,1.0,0,0.0,0,0.0
683,3252,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,810583,810583,63,63,2.0,2.0,2.0,0,0.0,0,0.0
685,3493,Vila Velha,Vila Velha,Jockey de Itaparica,Jockey de Itaparica,apartamento,apartamento,819089,819089,63,63,2.0,3.0,1.0,0,0.0,0,0.0
735,3249,Vila Velha,Vila Velha,Nossa Senhora da Penha,Nossa Senhora da Penha,apartamento,apartamento,320000,320000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
750,4049,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,514000,514000,60,60,2.0,1.0,1.0,0,0.0,0,0.0
751,4049,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,514000,514000,60,60,2.0,1.0,1.0,0,0.0,0,0.0
763,3416,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000,102,102,3.0,2.0,1.0,0,0.0,0,0.0
764,3416,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000,102,102,3.0,2.0,1.0,0,0.0,0,0.0
765,4319,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,695000,695000,100,100,3.0,2.0,1.0,0,0.0,0,0.0
771,4291,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,86,86,2.0,2.0,1.0,0,0.0,0,0.0
772,3220,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
772,3812,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
773,4291,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,86,86,2.0,2.0,1.0,0,0.0,0,0.0
774,4291,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,86,86,2.0,2.0,1.0,0,0.0,0,0.0
775,4291,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,86,86,2.0,2.0,1.0,0,0.0,0,0.0
776,3220,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
776,3812,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
778,4456,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000,100,100,3.0,2.0,1.0,0,0.0,0,0.0
782,4456,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000,100,100,3.0,2.0,1.0,0,0.0,0,0.0
784,4147,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000,85,85,2.0,2.0,1.0,0,0.0,0,0.0
788,4497,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,800000,800000,124,124,3.0,2.0,1.0,0,0.0,0,0.0
789,4497,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,800000,800000,124,124,3.0,2.0,1.0,0,0.0,0,0.0
793,4600,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,850000,850000,140,140,3.0,3.0,1.0,0,0.0,0,0.0
807,3590,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,890000,890000,100,100,3.0,3.0,2.0,0,0.0,0,0.0
811,4321,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,899000,899000,120,120,3.0,2.0,1.0,0,0.0,0,0.0
822,4540,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,100,100,3.0,2.0,1.0,0,0.0,0,0.0
823,4010,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,90,90,3.0,2.0,1.0,0,0.0,0,0.0
826,4363,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,130,130,3.0,2.0,1.0,0,0.0,0,0.0
827,4540,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,100,100,3.0,2.0,1.0,0,0.0,0,0.0
828,4010,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,90,90,3.0,2.0,1.0,0,0.0,0,0.0
829,4010,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,90,90,3.0,2.0,1.0,0,0.0,0,0.0
833,4010,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000,90,90,3.0,2.0,1.0,0,0.0,0,0.0
847,3311,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,980000,980000,81,81,2.0,3.0,3.0,0,0.0,0,0.0
849,4511,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,990000,990000,80,80,3.0,3.0,3.0,0,0.0,0,0.0
860,4602,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,1000000,1000000,110,110,3.0,3.0,2.0,0,0.0,0,0.0
863,4602,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,1000000,1000000,110,110,3.0,3.0,2.0,0,0.0,0,0.0
865,4143,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,1050000,1050000,66,66,2.0,2.0,1.0,0,0.0,0,0.0
875,3781,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,1090000,1090000,130,130,3.0,3.0,2.0,0,0.0,0,0.0
